wn
wna
gil
ajilao
ajila
asopao
pajaron
conchetumadre
conchatumadre
joelaperra
mamona
ahueonao
ahueona
chula
chulo
cagao
cagá
raja
abanto
abrazafarolas
adufe
alcornoque
alfenique
andurriasmo
arrastracueros
artaban
atarre
baboso
barrabas
barriobajero
bebecharcos
bellaco
belloto
berzotas
besugo
bobalicon
bocabuzon
bocachancla
bocallanta
boquimuelle
borrico
botarate
brasas
cabestro
cabezaalberca
cabezabuque
cachibache
cafre
cagalindes
cagarruta
calambuco
calamidad
calduo
calientahielos
calzamonas
cansalmas
cantamananas
capullo
caracaballo
caracarton
caraculo
caraflema
carajaula
carajote
carapapa
carapijo
cazurro
cebollino
cenizo
cenutrio
ceporro
cernicalo
charran
chiquilicuatre
chirimbaina
chupacables
chupasangre
chupoptero
cierrabares
cipote
comebolsas
comechapas
comeflores
comestacas
cretino
cuerpoescombro
culopollo
descerebrado
desgarracalzas
dondiego
donnadie
echacantos
ejarramantas
energumeno
esbaratabailes
escolimoso
escornacabras
estulto
fanfosquero
fantoche
fariseo
filimincias
foligoso
fulastre
ganan
ganapan
ganapio
gandul
gaznapiro
gilipuertas
giraesquinas
gorrino
gorrumino
guitarro
gurriato
habahela
huelegateras
huevon
lamecharcos
lameculos
lameplatos
lechuguino
lerdo
letrin
lloramigas
longanizas
lumbreras
maganto
majadero
malasangre
malasombra
malparido
mameluco
mamporrero
manegueta
mangarran
mangurrian
mastuerzo
matacandiles
meapilas
melon
mendrugo
mentecato
mequetrefe
merluzo
metemuertos
metijaco
mindundi
morlaco
morroestufa
muerdesartenes
orate
ovejo
pagafantas
palurdo
pamplinas
panarra
panoli
papafrita
papanatas
papirote
paquete
pardillo
parguela
pasmarote
pasmasuegras
pataliebre
patan
pavitonto
pazguato
pecholata
pedorro
peinabombillas
peinaovejas
pelagallos
pelagambas
pelagatos
pelatigres
pelazarzas
pelele
pelmazo
perroql
qlo
qla
pelma
percebe
perrocostra
perroflauta
peterete
petimetre
picapleitos
pichabrava
pillavispas
piltrafa
pinchauvas
pintamonas
piojoso
pitanoso
pitofloro
plomo
pocasluces
pollopera
quitahipos
rastrapajo
rebanasandias
revientabaules
rieleches
robaperas
sabandija
sacamuelas
sanguijuela
sinentraero
sinsustancia
sonajas
sonso
soplagaitas
soplaguindas
sosco
tagarote
tarado
tarugo
tiralevitas
tocapelotas
tocho
