abominación
aborrecer
aburrido
acoso
acumular resentimiento
afectar
agraviar
agresividad
alterarse
amargura
ambicioso
animadversión
animosidad
antagonismo
antipatía
atormentado
atribulado
avaricioso
avaro
aversión a las mujeres
aversión a las nuevas ideas
aversión a los niños
aversión al cambio
aversión al debate
aversión al matrimonio
beligerancia
berrinche
celos
celópata
codicioso
con hostilidad
criminalmente
crucificar
cuenta pendiente
dejar perplejo
desagradable
desagrado
desanimado
descaro
desconcertante
desdén
despecho
despreciar
desprecio
detestar
disgusto
dolido
en pie de guerra
enajenado
endiablar
enfurecer
enojado
enojo
enrabiado
entrometerse
envidia
envidiable
erizado de rabia
escandalizar
exacerbar
exasperar
fastidiado
fastidioso
frustración
furia
hacer irritar
hacer una escena
hostil
indignación
indignadísimo
insidioso
ira
irascible
irritado
irritante
loco
loco de rabia
locura
los celos
mal genio
mala sangre
mala voluntad
maldad
malhumorado
malicia
maligno
maléfico
molestar
negatividad
odiar
odio a la humanidad
ofender
oprimir
pasado a llevar
perder los estribos
perplejo
perseguir
perverso
poca paciencia
provocado
provocar berrinche
pálido de rabia
quejarse
quiquilloso
rabia
rabia acumulada
rabia criminal
reacio
rencor
repugnante
resentido
resentimiento
resentimiento intenso
rojo de ira
satanizar
sentir odio y disgusto por algo
sobrecargado
temperamental
veneno
vengativamente
vengativo
ver rojo de la rabia
